13:17:10, 10.20%, 3%, 2.72 Gb, 0.32 Gb, 4.21 W
13:17:14, 20.27%, 0%, 3.41 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.47%, 0%, 3.40 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.59%, 0%, 3.39 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.74%, 0%, 3.39 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.67%, 0%, 3.38 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.59%, 0%, 3.40 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.79%, 0%, 3.42 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.63%, 0%, 3.43 Gb, 3.75 Gb, 10.96 W
13:17:14, 20.49%, 10%, 3.47 Gb, 3.75 Gb, 10.96 W
13:17:15, 20.57%, 10%, 3.49 Gb, 3.75 Gb, 10.96 W
13:17:15, 20.70%, 10%, 3.50 Gb, 3.75 Gb, 10.97 W
13:17:15, 20.62%, 10%, 3.52 Gb, 3.75 Gb, 10.97 W
13:17:15, 20.37%, 10%, 3.49 Gb, 3.75 Gb, 10.97 W
13:17:15, 20.55%, 10%, 3.51 Gb, 3.75 Gb, 10.97 W
13:17:15, 20.67%, 10%, 3.52 Gb, 3.75 Gb, 10.96 W
13:17:15, 20.63%, 10%, 3.50 Gb, 3.75 Gb, 10.96 W
13:17:15, 20.67%, 3%, 3.49 Gb, 3.75 Gb, 10.96 W
13:17:15, 20.76%, 3%, 3.49 Gb, 3.75 Gb, 10.96 W
13:17:15, 20.88%, 3%, 3.49 Gb, 3.75 Gb, 10.87 W
13:17:15, 22.09%, 3%, 3.48 Gb, 3.75 Gb, 10.87 W
13:17:15, 21.79%, 3%, 3.51 Gb, 3.75 Gb, 10.87 W
13:17:15, 21.94%, 3%, 3.51 Gb, 3.75 Gb, 10.87 W
13:17:15, 21.91%, 3%, 3.52 Gb, 3.75 Gb, 10.84 W
13:17:15, 21.84%, 0%, 3.52 Gb, 3.75 Gb, 10.84 W
13:17:15, 22.39%, 0%, 3.51 Gb, 3.75 Gb, 10.84 W
13:17:15, 23.60%, 0%, 3.54 Gb, 3.75 Gb, 10.84 W
13:17:15, 23.61%, 0%, 3.56 Gb, 3.75 Gb, 10.85 W
13:17:15, 23.58%, 0%, 3.56 Gb, 3.75 Gb, 10.85 W
13:17:15, 23.45%, 0%, 3.56 Gb, 3.75 Gb, 10.85 W
13:17:15, 23.53%, 0%, 3.58 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.20%, 0%, 3.59 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.72%, 9%, 3.62 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.87%, 9%, 3.65 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.92%, 9%, 3.66 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.97%, 9%, 3.66 Gb, 3.75 Gb, 10.84 W
Query 4 - Time: 969 ms
13:17:15, 24.94%, 9%, 3.62 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.78%, 9%, 3.56 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.83%, 9%, 3.58 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.59%, 9%, 3.60 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.49%, 1%, 3.59 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.27%, 1%, 3.58 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.04%, 1%, 3.58 Gb, 3.75 Gb, 10.84 W
13:17:15, 24.04%, 1%, 3.58 Gb, 3.75 Gb, 10.85 W
13:17:15, 23.99%, 1%, 3.58 Gb, 3.75 Gb, 10.85 W
13:17:15, 24.05%, 1%, 3.58 Gb, 3.75 Gb, 10.85 W
13:17:15, 24.26%, 1%, 3.60 Gb, 3.75 Gb, 10.86 W
13:17:15, 24.23%, 1%, 3.62 Gb, 3.75 Gb, 10.86 W
13:17:15, 24.49%, 0%, 3.62 Gb, 3.75 Gb, 10.86 W
13:17:15, 24.57%, 0%, 3.62 Gb, 3.75 Gb, 10.86 W
13:17:16, 24.54%, 0%, 3.63 Gb, 3.75 Gb, 10.80 W
13:17:16, 24.40%, 0%, 3.62 Gb, 3.75 Gb, 10.80 W
Query 5 - Time: 230 ms
13:17:16, 24.37%, 0%, 3.60 Gb, 3.75 Gb, 10.80 W
13:17:16, 24.43%, 0%, 3.59 Gb, 3.75 Gb, 10.80 W
13:17:16, 24.51%, 0%, 3.59 Gb, 3.75 Gb, 10.90 W
13:17:16, 24.53%, 0%, 3.59 Gb, 3.75 Gb, 10.90 W
13:17:16, 24.57%, 6%, 3.59 Gb, 3.75 Gb, 10.90 W
13:17:16, 24.64%, 6%, 3.59 Gb, 3.75 Gb, 10.90 W
13:17:16, 24.40%, 6%, 3.59 Gb, 3.75 Gb, 10.91 W
13:17:16, 23.24%, 6%, 3.59 Gb, 3.75 Gb, 10.91 W
13:17:16, 23.31%, 6%, 3.58 Gb, 3.75 Gb, 10.91 W
13:17:16, 23.20%, 6%, 3.59 Gb, 3.75 Gb, 10.91 W
13:17:16, 23.85%, 6%, 3.61 Gb, 3.75 Gb, 10.92 W
13:17:16, 23.79%, 6%, 3.63 Gb, 3.75 Gb, 10.92 W
13:17:16, 22.57%, 0%, 3.65 Gb, 3.75 Gb, 10.92 W
Query 6 - Time: 140 ms
13:17:16, 22.04%, 0%, 3.65 Gb, 3.75 Gb, 10.92 W
13:17:16, 22.03%, 0%, 3.65 Gb, 3.75 Gb, 10.95 W
13:17:16, 22.00%, 0%, 3.66 Gb, 3.75 Gb, 10.95 W
13:17:16, 22.00%, 0%, 3.66 Gb, 3.75 Gb, 10.95 W
13:17:16, 22.09%, 0%, 3.65 Gb, 3.75 Gb, 10.95 W
13:17:16, 20.83%, 0%, 3.66 Gb, 3.75 Gb, 10.91 W
13:17:16, 20.57%, 0%, 3.67 Gb, 3.75 Gb, 10.91 W
13:17:16, 20.51%, 1%, 3.62 Gb, 3.75 Gb, 10.91 W
13:17:16, 20.47%, 1%, 3.63 Gb, 3.75 Gb, 10.91 W
13:17:16, 20.56%, 1%, 3.63 Gb, 3.75 Gb, 10.89 W
13:17:16, 20.84%, 1%, 3.64 Gb, 3.75 Gb, 10.89 W
13:17:16, 20.96%, 1%, 3.65 Gb, 3.75 Gb, 10.89 W
13:17:16, 21.07%, 1%, 3.68 Gb, 3.75 Gb, 10.89 W
13:17:16, 21.10%, 1%, 3.68 Gb, 3.75 Gb, 10.89 W
13:17:16, 21.01%, 1%, 3.68 Gb, 3.75 Gb, 10.89 W
13:17:16, 21.14%, 1%, 3.68 Gb, 3.75 Gb, 10.89 W
Query 7 - Time: 205 ms
13:17:16, 21.04%, 1%, 3.68 Gb, 3.75 Gb, 10.89 W
13:17:16, 21.02%, 1%, 3.67 Gb, 3.75 Gb, 10.99 W
13:17:16, 21.14%, 1%, 3.68 Gb, 3.75 Gb, 10.99 W
13:17:16, 21.03%, 1%, 3.69 Gb, 3.75 Gb, 10.99 W
13:17:16, 20.86%, 1%, 3.69 Gb, 3.75 Gb, 10.99 W
13:17:16, 20.76%, 1%, 3.69 Gb, 3.75 Gb, 10.99 W
13:17:16, 20.77%, 3%, 3.69 Gb, 3.75 Gb, 10.99 W
13:17:17, 20.71%, 3%, 3.69 Gb, 3.75 Gb, 10.99 W
13:17:17, 20.69%, 3%, 3.70 Gb, 3.75 Gb, 10.99 W
13:17:17, 20.93%, 3%, 3.70 Gb, 3.75 Gb, 10.97 W
13:17:17, 21.14%, 3%, 3.70 Gb, 3.75 Gb, 10.97 W
13:17:17, 21.65%, 3%, 3.70 Gb, 3.75 Gb, 10.97 W
13:17:17, 21.58%, 3%, 3.70 Gb, 3.75 Gb, 10.98 W
13:17:17, 21.54%, 3%, 3.70 Gb, 3.75 Gb, 10.98 W
13:17:17, 21.54%, 1%, 3.71 Gb, 3.75 Gb, 10.98 W
13:17:17, 21.78%, 1%, 3.69 Gb, 3.75 Gb, 10.98 W
13:17:17, 21.69%, 1%, 3.68 Gb, 3.75 Gb, 10.88 W
13:17:17, 21.73%, 1%, 3.67 Gb, 3.75 Gb, 10.88 W
13:17:17, 21.84%, 1%, 3.67 Gb, 3.75 Gb, 10.88 W
13:17:17, 21.98%, 1%, 3.67 Gb, 3.75 Gb, 10.88 W
13:17:17, 21.42%, 1%, 3.67 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.33%, 8%, 3.67 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.32%, 8%, 3.67 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.36%, 8%, 3.68 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.44%, 8%, 3.68 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.29%, 8%, 3.68 Gb, 3.75 Gb, 11.07 W
Query 8 - Time: 481 ms
13:17:17, 21.07%, 8%, 3.68 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.28%, 8%, 3.70 Gb, 3.75 Gb, 11.07 W
13:17:17, 21.41%, 8%, 3.71 Gb, 3.75 Gb, 11.05 W
13:17:17, 21.49%, 1%, 3.71 Gb, 3.75 Gb, 11.05 W
13:17:17, 21.45%, 1%, 3.73 Gb, 3.75 Gb, 11.05 W
13:17:17, 21.42%, 1%, 3.70 Gb, 3.75 Gb, 11.05 W
13:17:17, 21.38%, 1%, 3.70 Gb, 3.75 Gb, 11.06 W
13:17:17, 20.84%, 1%, 3.68 Gb, 3.75 Gb, 11.06 W
13:17:17, 20.82%, 1%, 3.67 Gb, 3.75 Gb, 11.06 W
13:17:17, 20.67%, 1%, 3.67 Gb, 3.75 Gb, 11.13 W
13:17:17, 20.97%, 1%, 3.66 Gb, 3.75 Gb, 11.13 W
13:17:17, 21.62%, 2%, 3.68 Gb, 3.75 Gb, 11.13 W
13:17:17, 21.53%, 2%, 3.71 Gb, 3.75 Gb, 11.13 W
13:17:17, 22.10%, 2%, 3.72 Gb, 3.75 Gb, 11.13 W
13:17:17, 22.08%, 2%, 3.72 Gb, 3.75 Gb, 11.13 W
Query 9 - Time: 199 ms
13:17:17, 22.32%, 2%, 3.74 Gb, 3.75 Gb, 11.13 W
13:17:17, 22.22%, 2%, 3.75 Gb, 3.75 Gb, 11.13 W
13:17:17, 22.39%, 2%, 3.74 Gb, 3.75 Gb, 11.38 W
13:17:17, 22.37%, 2%, 3.75 Gb, 3.75 Gb, 11.38 W
13:17:17, 22.57%, 7%, 3.75 Gb, 3.75 Gb, 11.38 W
13:17:17, 22.42%, 7%, 3.75 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.29%, 7%, 3.74 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.21%, 7%, 3.76 Gb, 3.75 Gb, 11.38 W
13:17:18, 21.73%, 7%, 3.76 Gb, 3.75 Gb, 11.38 W
13:17:18, 21.39%, 7%, 3.76 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.03%, 7%, 3.79 Gb, 3.75 Gb, 11.40 W
13:17:18, 22.70%, 7%, 3.79 Gb, 3.75 Gb, 11.40 W
13:17:18, 22.78%, 0%, 3.80 Gb, 3.75 Gb, 11.40 W
13:17:18, 22.76%, 0%, 3.81 Gb, 3.75 Gb, 11.40 W
13:17:18, 22.80%, 0%, 3.81 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.70%, 0%, 3.81 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.69%, 0%, 3.78 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.57%, 0%, 3.79 Gb, 3.75 Gb, 11.38 W
13:17:18, 22.73%, 0%, 3.85 Gb, 3.75 Gb, 11.49 W
13:17:18, 22.70%, 0%, 3.87 Gb, 3.75 Gb, 11.49 W
13:17:18, 22.79%, 14%, 3.93 Gb, 3.75 Gb, 11.49 W
13:17:18, 22.71%, 14%, 3.96 Gb, 3.75 Gb, 11.49 W
13:17:18, 22.73%, 14%, 3.99 Gb, 3.75 Gb, 11.32 W
13:17:18, 22.75%, 14%, 3.99 Gb, 3.75 Gb, 11.32 W
13:17:18, 22.73%, 14%, 3.87 Gb, 3.75 Gb, 11.32 W
13:17:18, 22.75%, 14%, 3.80 Gb, 3.75 Gb, 11.32 W
13:17:18, 22.72%, 14%, 3.82 Gb, 3.75 Gb, 11.34 W
13:17:18, 22.53%, 14%, 3.83 Gb, 3.75 Gb, 11.34 W
13:17:18, 22.70%, 8%, 3.79 Gb, 3.75 Gb, 11.34 W
13:17:18, 22.64%, 8%, 3.78 Gb, 3.75 Gb, 11.34 W
13:17:18, 22.68%, 8%, 3.79 Gb, 3.75 Gb, 11.42 W
13:17:18, 22.68%, 8%, 3.79 Gb, 3.75 Gb, 11.42 W
13:17:18, 22.74%, 8%, 3.78 Gb, 3.75 Gb, 11.42 W
13:17:18, 22.71%, 8%, 3.78 Gb, 3.75 Gb, 11.42 W
13:17:18, 22.26%, 8%, 3.81 Gb, 3.75 Gb, 11.41 W
13:17:18, 21.95%, 8%, 3.80 Gb, 3.75 Gb, 11.41 W
13:17:18, 21.70%, 2%, 3.79 Gb, 3.75 Gb, 11.41 W
13:17:18, 21.47%, 2%, 3.82 Gb, 3.75 Gb, 11.41 W
13:17:18, 21.16%, 2%, 3.80 Gb, 3.75 Gb, 11.34 W
13:17:18, 21.37%, 2%, 3.80 Gb, 3.75 Gb, 11.34 W
13:17:18, 21.66%, 2%, 3.80 Gb, 3.75 Gb, 11.34 W
13:17:18, 21.61%, 2%, 3.82 Gb, 3.75 Gb, 11.34 W
13:17:18, 21.74%, 2%, 3.83 Gb, 3.75 Gb, 11.34 W
13:17:18, 21.64%, 0%, 3.83 Gb, 3.75 Gb, 11.34 W
Query 10 - Time: 593 ms
13:17:18, 21.76%, 0%, 3.82 Gb, 3.75 Gb, 11.34 W
13:17:19, 21.79%, 0%, 3.82 Gb, 3.75 Gb, 11.34 W
13:17:19, 21.89%, 0%, 3.81 Gb, 3.75 Gb, 10.98 W
13:17:19, 21.57%, 0%, 3.82 Gb, 3.75 Gb, 10.98 W
13:17:19, 21.96%, 0%, 3.83 Gb, 3.75 Gb, 10.98 W
13:17:19, 21.72%, 0%, 3.84 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.49%, 0%, 3.84 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.45%, 1%, 3.85 Gb, 3.75 Gb, 10.98 W
Query 11 - Time:  ms
13:17:19, 20.30%, 1%, 3.84 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.19%, 1%, 3.86 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.46%, 1%, 3.85 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.54%, 1%, 3.85 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.51%, 1%, 3.86 Gb, 3.75 Gb, 10.98 W
13:17:19, 20.28%, 1%, 3.86 Gb, 3.75 Gb, 10.99 W
13:17:19, 20.55%, 1%, 3.84 Gb, 3.75 Gb, 10.99 W
13:17:19, 20.46%, 1%, 3.84 Gb, 3.75 Gb, 10.99 W
13:17:19, 20.52%, 1%, 3.84 Gb, 3.75 Gb, 10.99 W
13:17:19, 20.43%, 1%, 3.83 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.53%, 1%, 3.84 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.32%, 1%, 3.84 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.41%, 1%, 3.85 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.47%, 1%, 3.83 Gb, 3.75 Gb, 10.87 W
13:17:19, 20.29%, 0%, 3.81 Gb, 3.75 Gb, 10.87 W
Query 12 - Time: 188 ms
13:17:19, 20.42%, 0%, 3.81 Gb, 3.75 Gb, 10.87 W
13:17:19, 20.32%, 0%, 3.77 Gb, 3.75 Gb, 10.87 W
13:17:19, 20.36%, 0%, 3.75 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.58%, 0%, 3.74 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.49%, 0%, 3.75 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.58%, 0%, 3.75 Gb, 3.75 Gb, 10.89 W
13:17:19, 20.56%, 0%, 3.76 Gb, 3.75 Gb, 10.80 W
